,title,company,salary,summary,city,state
1378,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!",San Francisco,CA
1379,Locksmith Technician,Crown Lock and Hardware,"$48,000 - $80,000 a year","Crown Lock, an established and busy locksmith shop in San Francisco, is in need of hiring a locksmith technician for a full-time position.",San Francisco,CA
1380,Self Driving Vehicle Operator,Transdev,$23.00 - $26.50 an hour,"Meets driver requirements, including driving record and criminal history under applicable regulations and laws in the state(s) in which the self-driving vehicle…",San Francisco,CA
1381,Montessori Toddler Teacher,Hamilton Montessori School,$20 - $26 an hour,Able to effectively communicate with parents.Montessori trained is strongly preferred or willing to get training.Must have at least 12 completed ECE units.,San Francisco,CA
1382,Automotive Service Manager,Fairfield Chevrolet Suabru,,YOU MUST HAVE NEW CAR DEALERSHIP SERVICE DEPT MANAGEMENT EXPERIENCE .Knowledge of profit/loss statements.Maintain a high level of performance.,San Francisco,CA
1383,,Jews for Jesus,"$35,005 - $50,000 a year",2-3 years experience in a related field or College degree.Sort and open incoming mail on a daily basis.File documents in designated filing cabinets.,San Francisco,CA
1384,Records Clerk- Fleet Maintenance,West Valley Construction,$20 - $24 an hour,"Valid CA driver’s license and good driving record.The overall purpose of the position is to maintain accurate records on fleet maintenance, Track licensing,…",San Francisco,CA
1385,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…",San Francisco,CA
1386,Summer 2021 Museum Internships (Paid),Fine Arts Museums of San Francisco,,"Weekly schedule: 6 hours per week of flexible independent work done remotely, with 4 hours of fixed virtual weekly meetings on Tuesdays and Thursdays, 10am-12pm…",San Francisco,CA
1387,2021 Summer Internships,Common Sense Media Inc.,$17 an hour,Prior or current enrollment in college or university courses is not required.Interns need to be available to attend a minimum of six weekly educational Lunch &…,San Francisco,CA
1388,"Curatorial Assistant, Contemporary Art",SFMOMA,$26.06 an hour,"Reporting to the Curator of Contemporary Art, the Curatorial Assistant supports the research, development and interpretation of the permanent collection,…",San Francisco,CA
1389,Housekeeping Aide - Grade 100,Kaiser Permanente,,"Utilizing standard cleaning products, cleans auxiliary areas to include medication room, nursing station, tub room, soiled utility rooms, storage areas, staff…",San Francisco,CA
1390,ITFO,CACI,,"Keeps abreast of relevant technologies and maintains selected technical certifications.Provides internal consulting, technical guidance, information and…",San Francisco,CA
1391,Assistant/Associate Conservator of Photography,SFMOMA,,"Responsibilities comprise on-going care of the collection, including examination, conservation treatment, consultation and general collections care as well as…",San Francisco,CA
1392,Theatre Team Member,"Cinemark USA, Inc",,"Completes basic food handling training and obtains any local or state mandated certification, health card, or food handlers permit where required.",San Francisco,CA
1393,Airport Operations Crew,JetBlue Airways Corporation,,"Depending upon location, may need to possess and maintain a valid Driver License and a driving record that meets JetBlue Airways’ insurance standards.",San Francisco,CA
1394,Looking to Work in Sustainability?,Farm Fresh to You,$20 - $40 an hour,"Employee discount of 40% off all organic fruits, vegetables & artisan farm products.Working knowledge of our food system, sustainability and environmental…",San Francisco,CA
1395,Chief Estimator,"McGrath Electric, Inc.",,"Builds effective relationships with customers, design team, specialty contractors, suppliers, and user groups.Estimate, prepare and submit bid proposals.",San Francisco,CA
1396,Preschool Teachers,FranDelJA Enrichment Center,$19 - $22 an hour,"Must pass physical exam, TB test, Criminal Record Clearance and Fingerprints and all other state license requirements.High school graduate or equivalent.",San Francisco,CA
1397,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!",San Francisco,CA
1398,Records Clerk- Fleet Maintenance,West Valley Construction,$20 - $24 an hour,"Valid CA driver’s license and good driving record.The overall purpose of the position is to maintain accurate records on fleet maintenance, Track licensing,…",San Francisco,CA
1399,,Farm Fresh to You,$20 - $40 an hour,"Employee discount of 40% off all organic fruits, vegetables & artisan farm products.Working knowledge of our food system, sustainability and environmental…",San Francisco,CA
1400,Self Driving Vehicle Operator,Transdev,$23.00 - $26.50 an hour,"Meets driver requirements, including driving record and criminal history under applicable regulations and laws in the state(s) in which the self-driving vehicle…",San Francisco,CA
1401,Cashier,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance.",San Francisco,CA
1402,"Curatorial Assistant, Contemporary Art",SFMOMA,$26.06 an hour,"Reporting to the Curator of Contemporary Art, the Curatorial Assistant supports the research, development and interpretation of the permanent collection,…",San Francisco,CA
1403,Temporary Accounts Receivable and Student Accounts Cashier,San Francisco Art Institute,From $30 an hour,"4 year college degree required, Bachelor’s degree from an accredited university in finance, accounting, or a related field, and.",San Francisco,CA
1404,Team Member,Chipotle,,"Free food (yes, really FREE).Tuition assistance (100% coverage for select degrees or up to $5,250/year).Medical, dental, and vision insurance.",San Francisco,CA
1405,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…",San Francisco,CA
1406,Tutor in San Francisco – All Subjects Available,Grade Potential Tutoring,$18 - $30 an hour,San Francisco families are in immediate need of part-time tutors for all subjects and grade levels.,San Francisco,CA
1407,Dental Office Receptionist,Chavez Dental Care,$25 - $30 an hour,"Your primary responsibilities would include: patients scheduling, insurance and patient billing, monthly reports including production/collection, patient forms,…",San Francisco,CA
1408,Junior Environmental Planner,Metropolitan Transportation Commission,"$78,444 - $99,486 a year","License/Certificate: Possession of a valid California Class C Driver’s License and a safe driving record, or the ability to provide alternate transportation…",San Francisco,CA
1409,Housekeeping Aide - Grade 100,Kaiser Permanente,,"Utilizing standard cleaning products, cleans auxiliary areas to include medication room, nursing station, tub room, soiled utility rooms, storage areas, staff…",San Francisco,CA
1410,Production Assistant - Casting & Development,Lucasfilm,,Reads and shares feedback on incoming writer/director submissions when appropriate.Interfaces with agents and manager offices to schedule general meetings.,San Francisco,CA
1411,Boba Crew member,"SHARE TEA, SAN FRANCISCO",$17 - $19 an hour,"High stress tolerance -- thrives in a high-pressure environment.Prior customer service experience preferred not required.Job Types: Full-time, Part-time.",San Francisco,CA
1412,Find jobs with Flexible Hours!,Indeed Gigs,,"Whether it’s hiring for online work from home, part time, entry level or no experience jobs, you get to have flexible schedule!",San Francisco,CA
1413,Self Driving Vehicle Operator,Transdev,$23.00 - $26.50 an hour,"Meets driver requirements, including driving record and criminal history under applicable regulations and laws in the state(s) in which the self-driving vehicle…",San Francisco,CA
1414,,Farm Fresh to You,$20 - $40 an hour,"Employee discount of 40% off all organic fruits, vegetables & artisan farm products.Working knowledge of our food system, sustainability and environmental…",San Francisco,CA
1415,Gift Processing Associate,Jews for Jesus,"$35,005 - $50,000 a year",2-3 years experience in a related field or College degree.Sort and open incoming mail on a daily basis.File documents in designated filing cabinets.,San Francisco,CA
1416,Crew,AMC Theatres,,"Ability to effectively multitask as needed, including but not limited to greeting guests, tearing and scanning tickets, checking IDs, directing guests and…",San Francisco,CA
1417,Summer 2021 Museum Internships (Paid),Fine Arts Museums of San Francisco,,"Weekly schedule: 6 hours per week of flexible independent work done remotely, with 4 hours of fixed virtual weekly meetings on Tuesdays and Thursdays, 10am-12pm…",San Francisco,CA
